Грабли, биткоин и «мозгов потомкам»: что екатеринбуржцы решили положить в новую «капсулу времени»;6 апреля 2023, 10:30;1 17719
Битые огурцы, сычуаньская курица и синий чай. На Малышева открыли китайскую закусочную — чем она удивит;6 апреля 2023, 10:00;1 541
Мастер интернета: «Ростелеком» в Екатеринбурге показал один день работы инсталлятора;6 апреля 2023, 10:00;770
Осторожно, спойлеры: актеры сериала «Невский» раскрыли подробности нового сезона, который стартует на НТВ;6 апреля 2023, 10:00;670
Четыре главных сигнала, которые говорят о проблемах со зрением в разном возрасте;6 апреля 2023, 10:00;787
Подойдет для вечеринок и солнечных ванн. На Уралмаше выставили на продажу квартиры с террасами;6 апреля 2023, 10:00;1 054
В этом году сдадут самый долгожданный Дом на набережной. Что появится вместе с ним;6 апреля 2023, 10:00;1 279
Вас от этого раздует: 8 продуктов, из-за которых растет живот;6 апреля 2023, 10:00;5 42012
В Екатеринбурге ищут специалистов по воинскому учету и мобилизации. Зачем?;6 апреля 2023, 09:50;5 15126
Как работает единственный на Урале робот-хирург с четырьмя «лапами», которые вращаются на 360 градусов;6 апреля 2023, 09:30;1 65614
Выжить на 16 000 и не возненавидеть мир. Как журналистка жила на МРОТ и почему не смогла довести эксперимент до конца;6 апреля 2023, 09:00;4 94558
Куда сходить поесть: 10 новых ресторанов в Екатеринбурге;6 апреля 2023, 08:40;6 55847
«Ужасный гул — и вспышка пламени». Как через три минуты после вылета из Кольцово разбился Ту-104;6 апреля 2023, 08:10;13 39823
Коммунальным должникам хотят дать денег на оплату долга. Кто заплатит за идею депутатов?;6 апреля 2023, 08:00;4 35074
Готовьтесь к арктическому вторжению! В Екатеринбург внезапно вернутся морозы;6 апреля 2023, 07:57;14 95823
«Впору брать кредит, чтобы погасить коммуналку». Екатеринбуржцы взвыли из-за перерасчетов квартплаты;6 апреля 2023, 07:30;18 002131
«На зоне кормили одной капустой». Отец погибшего бойца ЧВК «Вагнер» рассказал, почему сын отправился на СВО;6 апреля 2023, 07:00;19 425
«Как так можно?» На Урале пара взяла собаку с улицы — и тем же вечером выкинула ее обратно;6 апреля 2023, 06:10;11 32373
У дома губернатора Куйвашева появился суперпереход, который видно поверх снега и грязи;6 апреля 2023, 05:50;11 03733
Чудеса над Екатеринбургом: в небе заметили «три солнца» и «три луны»;6 апреля 2023, 05:10;5 26822
«Участок — мертвый». На Урале появилась трасса, где водители теряют колеса;6 апреля 2023, 03:50;8 28022
На Урале спасатели вытащили и откачали песика, который провалился под лед. Видео (оно доводит до слез);6 апреля 2023, 02:40;4 99527
Уральцу втюхали сломанный телевизор за 42 тысячи в магазине DNS. Но он заставил продавцов пожалеть;6 апреля 2023, 01:25;28 65294
«Ужас!» На Сортировке водители остановили трамваи и устроили драку: видео;6 апреля 2023, 00:10;13 00796
«Оперировали ночью». Юного гимнаста, который сорвался с высоты, погрузили в искусственную кому;5 апреля 2023, 23:00;13 69861
Подкинуло в воздух и отбросило на несколько метров. В Каменске-Уральском сбили пьяного пешехода;5 апреля 2023, 22:20;6 09837
Комики спародировали теракт в Петербурге — СК начал проверку: новости СВО за 5 апреля;5 апреля 2023, 22:05;10 395148
В Москве горит одно из зданий Минобороны;5 апреля 2023, 21:53;11 23847
«Надо ставить галочку»: начальник ГИБДД — о вечно застревающих фурах под мостом на Компрессорном;5 апреля 2023, 21:00;11 366118
«У меня был шок»: врачи обнаружили у мамы аллергию на собственного сына — такое случается с одной из 50 000 беременных;5 апреля 2023, 20:00;10 05927
В Екатеринбурге умные камеры начнут ловить автохамов, паркующихся на местах для инвалидов;5 апреля 2023, 19:34;4 91386
Так тепло в апреле еще никогда не было! Погода в Екатеринбурге побила новый температурный рекорд;5 апреля 2023, 19:11;14 66072
«В клубах в обнимку с моделями»: от футболиста Павла Погребняка ушла жена из-за многочисленных измен — у пары трое детей;5 апреля 2023, 19:00;19 57882
В Екатеринбурге таинственно исчез таксист на служебной машине;5 апреля 2023, 18:31;14 56142
«Зарплата — до миллиона». В уральских городах выставили черные машины для вербовки в ЧВК «Вагнер»;5 апреля 2023, 18:00;90 619317
Аж в носу свербит: 3 популярных ноты в духах, которые отпугивают всех — проверьте свой парфюм;5 апреля 2023, 18:00;15 67816
Сдать анализы, не выходя из дома: как проверить здоровье без очередей и поликлиник;5 апреля 2023, 18:00;4 312
В метро Екатеринбурга заблокировали банковские карты пассажиров;5 апреля 2023, 17:35;14 67355
«Это нарушение техники безопасности». Эксперты по трюкам на высоте — о причинах падения 14-летнего гимнаста;5 апреля 2023, 17:17;12 95229
Анализы, обследования, проверка родинок. В Екатеринбурге врачи два дня будут бесплатно работать в «Меге»;5 апреля 2023, 17:01;6 75615
